Data;Horário;id_time_mandantes;Em casa;Resultado;id_time_visitante;Visitante;Público;Local
13/04/2024;18:30;7;Criciúma;1–1;15;Juventude;12,804;Estádio Heriberto Hülse
13/04/2024;18:30;14;Internacional;2–1;4;Bahia;19,103;Estádio José Pinheiro Borba
14/04/2024;16:00;1;Athletico Paranaense;4–0;9;Cuiabá;21,388;Ligga Arena
14/04/2024;16:00;19;Vasco da Gama;2–1;13;Grêmio;17,722;Estádio Club de Regatas Vasco da Gama
14/04/2024;16:00;6;Corinthians;0–0;3;Atlético Mineiro;44,285;Neo Química Arena
14/04/2024;16:00;2;Atlético Goianiense;1–2;10;Flamengo;31,617;Estádio do Governo do Estado de Goiás
14/04/2024;17:00;8;Cruzeiro;3–2;5;Botafogo (RJ);20,701;Estádio Governador Magalhães Pinto
14/04/2024;18:30;20;Vitória;0–1;16;Palmeiras;30,644;Estádio Manoel Barradas
13/04/2024;21:00;11;Fluminense;2–2;17;Red Bull Bragantino;17,645;Estadio Jornalista Mário Filho
13/04/2024;21:00;18;São Paulo;1–2;12;Fortaleza;35,055;Estádio do Morumbi
17/04/2024;19:00;13;Grêmio;2–0;1;Athletico Paranaense;13,236;Arena do Grêmio
17/04/2024;19:00;17;Red Bull Bragantino;2–1;19;Vasco da Gama;5,448;Estádio Nabi Abi Chedid
17/04/2024;20:00;15;Juventude;2–0;6;Corinthians;7,478;Estádio Alfredo Jaconi
17/04/2024;20:00;3;Atlético Mineiro;1–1;7;Criciúma;21,726;Arena MRV
17/04/2024;20:00;16;Palmeiras;0–1;14;Internacional;13,464;Allianz Parque
17/04/2024;20:00;12;Fortaleza;1–1;8;Cruzeiro;21,726;Estádio Castelão
16/04/2024;21:30;4;Bahia;2–1;11;Fluminense;23,08;Itaipava Arena Fonte Nova
17/04/2024;21:30;10;Flamengo;2–1;18;São Paulo;45,166;Estadio Jornalista Mário Filho
18/04/2024;21:30;5;Botafogo (RJ);1–0;2;Atlético Goianiense;7,801;Estádio Nilton Santos
20/04/2024;16:00;11;Fluminense;2–1;19;Vasco da Gama;25,842;Estadio Jornalista Mário Filho
20/04/2024;18:30;17;Red Bull Bragantino;1–0;6;Corinthians;9,466;Estádio Nabi Abi Chedid
20/04/2024;18:30;13;Grêmio;1–0;9;Cuiabá;22,904;Arena do Grêmio
21/04/2024;16:00;20;Vitória;2–2;4;Bahia;27,609;Estádio Manoel Barradas
21/04/2024;16:00;16;Palmeiras;0–0;10;Flamengo;29,956;Allianz Parque
21/04/2024;16:00;1;Athletico Paranaense;1–0;14;Internacional;29,784;Ligga Arena
21/04/2024;18:30;2;Atlético Goianiense;0–3;18;São Paulo;8,024;Estádio Antônio Accioly
21/04/2024;18:30;5;Botafogo (RJ);5–1;15;Juventude;13,273;Estádio Municipal Nílton Santos
20/04/2024;21:00;3;Atlético Mineiro;3–0;8;Cruzeiro;39,541;Arena MRV
27/04/2024;16:00;19;Vasco da Gama;0–4;7;Criciúma;17,124;Estádio Club de Regatas Vasco da Gama
27/04/2024;17:30 (18:30);9;Cuiabá;0–3;3;Atlético Mineiro;6,711;Arena Pantanal
28/04/2024;11:00;10;Flamengo;0–2;5;Botafogo (RJ);53,683;Estadio Jornalista Mário Filho
28/04/2024;16:00;8;Cruzeiro;3–1;20;Vitória;20,083;Estádio Governador Magalhães Pinto
28/04/2024;16:00;6;Corinthians;3–0;11;Fluminense;42,119;Neo Química Arena
28/04/2024;18:30;12;Fortaleza;1–1;17;Red Bull Bragantino;18,113;Estádio Castelão
28/04/2024;18:30;15;Juventude;1–1;1;Athletico Paranaense;5,032;Estádio Alfredo Jaconi
28/04/2024;20:00;14;Internacional;1–1;2;Atlético Goianiense;28,468;Estádio José Pinheiro Borba
27/04/2024;21:00;4;Bahia;1–0;13;Grêmio;35,836;Itaipava Arena Fonte Nova
29/04/2024;20:00;18;São Paulo;0–0;16;Palmeiras;55,694;Estádio do Morumbi
04/05/2024;16:00;11;Fluminense;2–2;3;Atlético Mineiro;5,168;Estádio Kleber José de Andrade
04/05/2024;18:30;17;Red Bull Bragantino;1–1;10;Flamengo;9,917;Estádio Nabi Abi Chedid
05/05/2024;16:00;20;Vitória;1–3;18;São Paulo;25,739;Estádio Manoel Barradas
05/05/2024;16:00;1;Athletico Paranaense;1–0;19;Vasco da Gama;31,192;Ligga Arena
05/05/2024;17:30 (18:30);9;Cuiabá;0–2;16;Palmeiras;10,781;Arena Pantanal
05/05/2024;18:30;5;Botafogo (RJ);1–2;4;Bahia;22,685;Estádio Nilton Santos
