Jogador;Time;id_time;Numeração;Nação;Posição;Idade;Gols;Assistências;CrtsA;CrtV;Contatos;Div;Crts;Bloqueios;xG;xAG;Cmp;Att;Cmp%;Conduções;Data
Éder;Criciúma;7;23;ITA;FW;37;0;0;0;0;20.0;1.0;0;0.0;0.0;0.0;12.0;16.0;75;17.0;13/04/2024
Yannick Bolasie;Criciúma;7;11;COD;FW;34;0;0;1;0;9.0;0.0;0;0.0;0.0;0.1;4.0;5.0;80;6.0;13/04/2024
Renato Kayser;Criciúma;7;79;BRA;FW;28;1;0;0;0;23.0;0.0;0;1.0;0.5;0.1;10.0;15.0;66,7;14.0;13/04/2024
Arthur;Criciúma;7;35;BRA;FW;31;0;0;0;0;6.0;0.0;0;0.0;0.0;0.0;5.0;6.0;83,3;2.0;13/04/2024
Marquinhos Gabriel;Criciúma;7;10;BRA;AM;33;0;0;1;0;40.0;0.0;1;2.0;0.0;0.3;22.0;24.0;91,7;24.0;13/04/2024
Matheusinho;Criciúma;7;17;BRA;AM;26;0;0;0;0;12.0;0.0;0;0.0;0.0;0.0;7.0;7.0;100;13.0;13/04/2024
Higor Meritão;Criciúma;7;5;BRA;LM;29;0;0;0;0;58.0;1.0;1;3.0;0.0;0.0;39.0;44.0;88,6;30.0;13/04/2024
Barreto;Criciúma;7;88;BRA;CM;28;0;0;0;0;46.0;2.0;0;3.0;0.0;0.0;32.0;36.0;88,9;25.0;13/04/2024
Fellipe Mateus;Criciúma;7;7;BRA;RM;33;0;0;1;0;35.0;0.0;0;2.0;0.1;0.0;19.0;27.0;70,4;24.0;13/04/2024
Miguel Trauco;Criciúma;7;14;PER;RM;31;0;0;1;0;11.0;1.0;0;1.0;0.0;0.0;4.0;8.0;50;6.0;13/04/2024
Marcelo Hermes;Criciúma;7;22;BRA;LB;29;0;1;0;0;60.0;1.0;2;1.0;0.1;0.1;31.0;49.0;63,3;31.0;13/04/2024
Walisson Maia;Criciúma;7;33;BRA;CB;32;0;0;0;0;46.0;1.0;1;0.0;0.0;0.0;34.0;41.0;82,9;30.0;13/04/2024
Rodrigo Fagundes;Criciúma;7;3;BRA;CB;37;0;0;0;0;78.0;1.0;2;0.0;0.0;0.0;60.0;72.0;83,3;52.0;13/04/2024
Claudinho;Criciúma;7;27;BRA;RB;23;0;0;0;0;75.0;3.0;4;2.0;0.0;0.0;50.0;58.0;86,2;44.0;13/04/2024
Yerson Candelo;Criciúma;7;19;COL;RB;32;0;0;0;0;19.0;2.0;0;0.0;0.0;0.0;12.0;16.0;75;11.0;13/04/2024
Alisson;Criciúma;7;25;BRA;GK;28;0;0;0;0;37.0;0.0;0;0.0;0.0;0.0;25.0;36.0;69,4;18.0;13/04/2024
Gilberto;Juventude;15;9;BRA;FW;34;0;0;0;0;5.0;0.0;0;0.0;0.1;0.0;2.0;3.0;66,7;0.0;13/04/2024
Erick;Juventude;15;7;BRA;FW;27;0;0;0;0;22.0;0.0;0;0.0;0.0;0.0;15.0;18.0;83,3;12.0;13/04/2024
Jean Carlos Vicente;Juventude;15;20;BRA;FW;32;1;0;1;0;49.0;2.0;1;1.0;0.1;0.1;24.0;39.0;61,5;29.0;13/04/2024
Nenê;Juventude;15;10;BRA;LM;42;0;0;0;0;39.0;0.0;1;1.0;0.1;0.1;19.0;30.0;63,3;19.0;13/04/2024
Marcelinho;Juventude;15;11;BRA;LM;21;0;0;0;0;14.0;0.0;0;0.0;0.1;0.0;7.0;9.0;77,8;10.0;13/04/2024
Caíque de Jesus Gonçalves;Juventude;15;95;BRA;CM;28;0;0;1;0;62.0;5.0;0;1.0;0.0;0.0;48.0;55.0;87,3;33.0;13/04/2024
Thiaguinho;Juventude;15;8;BRA;CM;27;0;0;0;0;11.0;1.0;0;0.0;0.0;0.0;6.0;9.0;66,7;4.0;13/04/2024
Jadson;Juventude;15;16;BRA;CM;30;0;1;0;0;65.0;2.0;2;2.0;0.0;0.2;47.0;54.0;87;30.0;13/04/2024
Lucas Barbosa;Juventude;15;21;BRA;RM;23;0;0;0;0;54.0;3.0;0;3.0;0.1;0.0;24.0;36.0;66,7;27.0;13/04/2024
Rildo;Juventude;15;37;BRA;RM;24;0;0;0;0;13.0;0.0;1;0.0;0.0;0.0;7.0;9.0;77,8;3.0;13/04/2024
